spec,spec_id,gamma_ebic,wave,trust_stratum,n_cc,context_id,network_id,edge_id,from,to,edge_a,edge_b,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_WORRY__SEVERITY,AFF_WORRY,SEVERITY,AFF_WORRY,SEVERITY,0.02232054637357074,0.03292282764169076,0.03980032347259913,0,0.12858100084723847,0.597,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_FEAR__USE2_SPACE150,AFF_FEAR,USE2_SPACE150,AFF_FEAR,USE2_SPACE150,0.011277129314865878,0.016277432883503015,0.02538871723411079,0,0.08390390116547561,0.46,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__USE2_AVOID__USE2_MASK,USE2_AVOID,USE2_MASK,USE2_AVOID,USE2_MASK,0.008019455233605326,0.023230582752480307,0.03177039923637442,0,0.10333311009800933,0.525,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_FEAR__USE2_HANDWASH20,AFF_FEAR,USE2_HANDWASH20,AFF_FEAR,USE2_HANDWASH20,0,-0.005067241441795754,0.020354806286583916,-0.07500835477477975,0.008643850232056242,0.134,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_FEAR__USE2_MASK,AFF_FEAR,USE2_MASK,AFF_FEAR,USE2_MASK,0,5.779393304749061e-4,0.020155800221340614,-0.05159452022616604,0.05256091827688086,0.158,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_WORRY__USE2_HANDWASH20,AFF_WORRY,USE2_HANDWASH20,AFF_WORRY,USE2_HANDWASH20,0,0.00691849881868218,0.018026005506003032,0,0.06330483375297004,0.246,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_WORRY__USE2_MASK,AFF_WORRY,USE2_MASK,AFF_WORRY,USE2_MASK,0,0.010871733837767019,0.022926869671274247,0,0.0774230547111542,0.292,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__AFF_WORRY__USE2_SPACE150,AFF_WORRY,USE2_SPACE150,AFF_WORRY,USE2_SPACE150,0,0.01262483485352932,0.025585970285702905,0,0.07735922233287888,0.376,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__SEVERITY__USE2_MASK,SEVERITY,USE2_MASK,SEVERITY,USE2_MASK,0,-0.028415889059763385,0.04703372216718004,-0.1414276846058036,0,0.344,1000
g05,gamma_05,0.5,56,high,351,ctx_w56_high,net_g05_w56_high,net_g05_w56_high__SEVERITY__WORRY_HEALTH_SYSTEM,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY,WORRY_HEALTH_SYSTEM,0,0.011653769115283388,0.02459638396916791,0,0.07923579085956281,0.346,1000
g05,gamma_05,0.5,56,low,383,ctx_w56_low,net_g05_w56_low,net_g05_w56_low__AFF_FEAR__AFF_WORRY,AFF_FEAR,AFF_WORRY,AFF_FEAR,AFF_WORRY,0.5221423376802454,0.5163009391304512,0.040487692408575374,0.4365253522417518,0.5951509081569961,1,1000
